name of film,ISO
FOMA Fomapan 100 120 Medium Format Film,100
FOMA Fomapan 100 120 Medium Format Film Retro Edition,100
FOMA Fomapan 200 120 Medium Format Film Retro Edition,200
KENTMERE Kentmere 100 135/24,100
KENTMERE Kentmere Pan 400/24,400
FOMA Fomapan 400 120 Medium Format Film,400
FOMA FOMAPAN 400 120 Retro edition,400
FOMA Fomapan 100 135/36,100
FOMA Fomapan 200 120 Medium Format Film,200
FOMA Fomapan 400 135/36,400
FOMA Fomapan 200 35mm 36 Exp. Film,200
KENTMERE Kentmere 100 135/36,100
KENTMERE Kentmere 400 135/36,400
AGFAPHOTO APX 100 - 135/36 (35 mm) NEW,100
KENTMERE PAN 100,100
KENTMERE PAN 400,400
FOTO MONO Kosmo Foto Mono 100,100
AGFAPHOTO APX 400 - 135/36 (35 mm) NEW,400
FOMA ORTHO 400,400
ADOX HR-50 135/36 with SPEED BOOST,50
ADOX SCALA 50 BW 135/36,50
ROLLEI Retro 400S 135-36,400
ROLLEI RETRO 80S 135-36,80
ROLLEI RPX 100 135-36,100
ROLLEI Superpan 200 135/36,200
SPUR UFG Film 35mm /36 exp,
ROLLEI RPX 100 120 Medium Format Film,100
ROLLEI RETRO 80S 120 Medium Format Film,80
FOMA ORTHO 400 35mm 36exp,400
ADOX CHS 100 II 120 Medium Format Film,100
NOCOLORSTUDIO No.5 High Contrast 135/29,
WASHI F 100 B&W-Film  135/24,100
ROLLEI RPX 400 120 Medium Format Film,400
ILFORD FP4+ 120 Medium Format Film,125
ILFORD HP5+ 120 Medium Format Film,400
FOMA Fomapan 100 R S/W Direct Positive Film 135/36,100
ROLLEI Superpan 200 120 Medium Format Film,200
BERGGER PANCRO 400,400
ROLLEI Retro 400S 120 Medium Format Film,400
ROLLEI RPX 25 135-36,25
ROLLEI RPX 400 135-36,400
SPUR UFG Film,
WASHI K - ISO 100/21 Vintage aerial film,100
DUBBLEFILM DAILY B&W 36 exposure iso 400 35mm film,400
ROLLEI RPX 25 120 Medium Format Film,25
ROLLEI IR 400 135/36,400
ADOX CHS 100 II 35mm Film 135/36,100
WASHI Z - 400 ISO - 135/24,400
BERGGER PANCRO 400 135-36,400
LOMOGRAPHY Fantôme Kino B/W 35mm ISO,
KING FILM MONO 50 35mm 36exp,50
NOCOLORSTUDIO no.10 Wide Spectrum,
SPUR DSX 135/36 ISO 50/18,50
WASHI E - 3 iso/6°  120 - PCB film,3
ILFORD FP4+ 125 ASA 135/36,125
ILFORD HP5+ 135/36 400 ASA,400
SILBERRA U200 35 mm,200
ILFORD Delta 100 120 Medium Format Film,100
ILFORD Delta 400 120 Medium Format Film,400
ILFORD Pan F 120 Medium Format Film,
ILFORD XP2 Super 120 Medium Format Film,
WASHI F 100 S&W-Film,100
