Film Name,Format,Type,Price,Availability
ADOX CHS 100 II 35mm Film 135/36,35mm,BW, 8.50,In stock
ADOX CMS 20 II 135/36 35mm 36 Exposure,35mm,BW, 12.00,In stock
ADOX HR-50 135/36 with SPEED BOOST,35mm,BW, 6.99,In stock
ADOX HR-50 135/36 with SPEED BOOST Bulk Roll,35mm,BW, 79.00,Out of stock
ADOX Silvermax B&W film with high silver content,35mm,BW, 9.81,Out of stock
"AGFAPHOTO APX 100 - 135 30,5m (35 mm) New",35mm,BW, 84.95,In stock
AGFAPHOTO APX 100 - 135/36 (35 mm) NEW,35mm,BW, 6.19,In stock
"AGFAPHOTO APX 400 - 135/30,5m (35 mm) New",35mm,BW, 93.95,In stock
AGFAPHOTO APX 400 - 135/36 (35 mm) NEW,35mm,BW, 6.39,In stock
BERGGER PANCRO 400 135-36,35mm,BW, 8.70,In stock
Bundle out of 3 X ILFORD Delta 100 135/36 + ADOX FX-39 TYPE II 100 ml conc. + ADOX BABY ADOFIX Plus 100 ml conc.,35mm,BW, 39.39,In stock
Bundle out of 3 X ILFORD Delta 400 135/36 + ADOX FX-39 TYPE II 100 ml conc. + ADOX BABY ADOFIX Plus 100 ml conc.,35mm,BW, 42.30,In stock
Bundle out of 3 X ILFORD FP4+ 125 ASA 135/36 + ADOX FX-39 TYPE II 100 ml conc. + ADOX BABY ADOFIX Plus 100 ml conc.,35mm,BW, 36.39,In stock
Bundle out of 3 X ILFORD HP5+ 135/36 400 ASA + ADOX FX-39 TYPE II 100 ml conc. + ADOX BABY ADOFIX Plus 100 ml conc.,35mm,BW, 36.39,In stock
Bundle out of 3 X KODAK TRI-X 400 135/36 + ADOX FX-39 TYPE II 100 ml conc. + ADOX BABY ADOFIX Plus 100 ml conc.,35mm,BW, 42.30,In stock
Bundle out of 5 X ADOX CMS 20 II 135/36 35mm 36 Exposure + ADOX Adotech IV for up to 6 35mm or 120 films 100 ml conc.,35mm,BW, 72.20,In stock
